"productid","EanCode","price10","price14","price16","ProductDescription","NutritionDescription","IngredientsDescription","ProductName","ImageUrl","VatRate","CreationDate","LastmodifiedDate","suppliername"
32,"11210000018",52.95000076293945,52.95000076293945,52.95000076293945,,"Näringvärde per 100g: </BR>Energi: 67kj/16kcal, </BR>Fett: 0,7g </BR>- varav mättat fett 0,2g,</BR>Kolhydrat: 1,6g </BR>- varav sockerarter 0g,</BR>Fiber 1,3g,</BR>Protein: 1g,</BR>Salt: 1,8g","ättika (eddik), Tabasco-peppar, salt.",Pepper Sauce 57ml Tabasco,"00011210000018_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-08 00:08:20,Tabasco
36,"011210009431",52.95000076293945,52.95000076293945,52.95000076293945,,Ingen info,"Ättika (Eddik), grön Jalapeno peppar, salt, modifierad majsstärkelse (E1422), förtjockningsmedel (Stivelse) E415, antioxidationsmedel E300.",Pepper Sauce Grön 60ml Tabasco,tabasco-gron-60ml-tabasco-1578909153.jpg,12,2007-10-27 15:36:22,2018-09-05 16:21:56,Tabasco
90,"013409351505",44.95000076293945,44.95000076293945,0,,"Näringvärde per 100g: </BR>Energi: 841kj/201kcal, </BR>Fett: 0.2g </BR>- varav mättat fett 0,1g,</BR>Kolhydrat: 48g </BR>- varav sockerarter 43g,</BR>Protein: 0,9g,</BR>Salt: 1,9g","Fruktossirap, ättika/eddik (majs), tomatpuré, vatten, modifierad stärkelse/modifisert stivelse, farinsocker (2%) salt, rökarom/rögarom, ananasjuice koncentrat, , kryddor ( SENAPSPULVER/SENNEPPULVER, SELLERIFRÖN/SELLERI), färgämne (sockerkulör/karamel), ko",BBQ Sås Hickory 510g Sweet Baby Rays,bbq-sas-hickory-510g-sweet-baby-rays.jpg,12,2007-10-27 15:36:22,2018-11-28 10:07:36,Sweet Baby Ray
91,"13409918104",47.95000076293945,47.95000076293945,47.95000076293945,"Original Barbecue- den äkta berömda amrikanska BBQ såsen som ger den där riktiga grillsmaken. Perfekt till grillning/stekning, men även som sås/dipp till grillat eller stekt kött.","Energi 200 kcal, Energi 837 kJ, Fett 0.2 g, Varav mättat fett 0.1 g, Kolhydrat 47 g, Varav sockerarter 43 g, Protein 0.9 g, Motsvarande salt 1.9 g","Hög/høj fruktos majssirap, vinäger/vineddik, tomatpuré, modifierad stärkelse/modifisert stivelse (majs), salt, ananasjuicekoncentrat, naturlig rökarom/røgaroma (0,75%), kryddor (SENAP/SENNEP, SELLERIFRÖN/SELLERI), rödpeppar, svartpeppar), färgämne (sockerkulör/karamel), konserveringsmedel (natriumbensoat), melass/melasse, majssirap/maissirup, vitlök, socker, tamarind, fruktextrakt.",BBQ Original 510g Sweet Baby Ray´s,"00013409918104_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-24 15:49:24,Sweet Baby Ray
1099,"4457",7.95,7.95,7.95,"Clementiner är naturligt kärnfri men det kan ändå förekomma kärnor i clementiner. Detta beror på att blomningsperioden sammanfaller med citronernas. Kärnorna kommer från citronträden genom så kallad korspollinering. Bina tar med sig pollen från citronodlingar i närheten och överför det på den yttre träden i clementinodlingen, om denna ligger för nära. Dessa träd kan då få frukter som innehåller kärnor.  Träden längre in i odlingen förblir kärnfri. Därför kan förekomsten av kärnor variera i just clementiner. Vissa partier är helt kärnfria medan andra kan innehålla mycket  kärnor.",,,Clementiner Klass1,clementiner-klass1-1.jpg,12,2007-10-27 15:36:22,2019-02-15 09:02:12,Frukt & Grönt
1112,"3050",32.96,32.95,32.95,,,,Vitkål ca 1.5kg Klass1,vitkal-ca-2-5-kg-klass1.jpg,12,2007-10-27 15:36:22,2019-02-01 08:37:08,Frukt & Grönt
1149,"4021",9.95,9.95,9.95,,,,Äpple Golden Delicious Klass1,apple-golden-delicious-klass1.jpg,12,2007-10-27 15:36:22,2019-02-26 13:00:54,Frukt & Grönt
1150,"4147",8.75,8.75,8.75,,,,Äpple Jonagold Klass1,apple-jonagold-klass1-2.jpg,12,2007-10-27 15:36:22,2019-01-31 11:02:18,Frukt & Grönt
1154,"2092321700000",9.949999809265137,9.949999809265137,9.949999809265137,Sorten kan variera över säsongen.,,,Svenska Äpplen EKO Klass1,svenska-applen-discovery-eko-klass1-1.jpg,12,2007-10-27 15:36:22,2019-02-15 10:24:26,Frukt & Grönt
1191,"4011",7,7,7,,,,Banan Klass1,banan-klass1-7.jpg,12,2007-10-27 15:36:22,2019-02-26 12:17:45,Frukt & Grönt
1192,"7313305002109",39.95,39.95,39.95,"Ekologisk KRAV odlad potatis av mjölig sort.<br><br/>Denna odlas på Östra fornås lantbruk i Östergötland.Ett familjeföretag i 6:e generationen!De är specialiserade på att odla potatis och är bland de bästa odlarna i Sverige enligt oss på MatHem.<img src=""https://cdn2.cdnme.se/4618866/8-3/potatis_mjolig_56a63301e087c32ec2a8f257.jpg"" alt="""" class=""image"" data-oid=""56a63301e087c32ec2a8f257"" />",,,Potatis Mos/Mjölig EKO 2kg Klass1,potatis-mosmjolig-eko-2kg-klass1.png,12,2007-10-27 15:36:22,2019-02-25 06:51:52,Frukt & Grönt
1221,"4061",21.95,21.95,21.95,"Sallat Isberg Klass 1. <br/> <br/>Isbergssallat är vår mest odlade och sålda sallatssort. Den har vunnit sin popularitet i att vara krispig, mild och användbar i de flesta blandsallader.","Näringsvärde per 100g. Energi: 61 kJ/15kcal, Protein: 1g, Fett: 0,1g, Mättade fettsyror: 0g, Kolhydrater: 2g, Fibrer:	1g, C-vitamin: 4mg, D-vitamin: 0mcg, Folat: 56mcg, Järn: 0,4mg, Zink: 0,2mg, Kalcium:	16mg.",,Sallat Isberg Klass1,sallat-isberg-klass1.jpg,12,2007-10-27 15:36:22,2019-02-06 12:07:24,Frukt & Grönt
1226,"74067",19.95,19.95,19.95,"Zucchini Klass 1.  Den vanligaste sorten Zucchini är gurkliknande, ofta något bredare i blomändan och mörkgrön. ","Näringsvärde per 100g. Energi: 15 kcal/62 kJ, Vatten: 95g, Protein: 1,2g, Fett: 0,1g, Kolhydrater: 2,2g, Kostfiber: 1g, Kalium: 250mg, Kalcium: 15mg, Järn: 0,4mg, Selen: 0µg, ß-karoten: 205µg, C-vitamin: 9mg.",,Zucchini Klass1,zucchini-klass1-2.jpg,12,2007-10-27 15:36:22,2019-02-26 12:39:57,Frukt & Grönt
1232,"74603",19.95,19.95,19.95,,,,Aubergine Klass1,aubergine-klass1.jpg,12,2007-10-27 15:36:22,2019-02-15 10:13:13,Frukt & Grönt
