"productid","EanCode","Volume","Weight","Height","Length","Width","price10","price14","price16","ProductDescription","NutritionDescription","IngredientsDescription","ProductName","ImageUrl","VatRate","CreationDate","LastmodifiedDate","suppliername"
32,"11210000018","0.24","0.157","140","41","41",52.95000076293945,52.95000076293945,52.95000076293945,,"Näringvärde per 100g: </BR>Energi: 67kj/16kcal, </BR>Fett: 0,7g </BR>- varav mättat fett 0,2g,</BR>Kolhydrat: 1,6g </BR>- varav sockerarter 0g,</BR>Fiber 1,3g,</BR>Protein: 1g,</BR>Salt: 1,8g","ättika (eddik), Tabasco-peppar, salt.",Pepper Sauce 57ml Tabasco,"00011210000018_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-08 00:08:20,Tabasco
36,"011210009431","0.24","0.158","140","41","41",52.95000076293945,52.95000076293945,52.95000076293945,,Ingen info,"Ättika (Eddik), grön Jalapeno peppar, salt, modifierad majsstärkelse (E1422), förtjockningsmedel (Stivelse) E415, antioxidationsmedel E300.",Pepper Sauce Grön 60ml Tabasco,tabasco-gron-60ml-tabasco-1578909153.jpg,12,2007-10-27 15:36:22,2018-09-05 16:21:56,Tabasco
90,"013409351505","0.93","0.555","185","97","53",44.95000076293945,44.95000076293945,0,,"Näringvärde per 100g: </BR>Energi: 841kj/201kcal, </BR>Fett: 0.2g </BR>- varav mättat fett 0,1g,</BR>Kolhydrat: 48g </BR>- varav sockerarter 43g,</BR>Protein: 0,9g,</BR>Salt: 1,9g","Fruktossirap, ättika/eddik (majs), tomatpuré, vatten, modifierad stärkelse/modifisert stivelse, farinsocker (2%) salt, rökarom/rögarom, ananasjuice koncentrat, , kryddor ( SENAPSPULVER/SENNEPPULVER, SELLERIFRÖN/SELLERI), färgämne (sockerkulör/karamel), ko",BBQ Sås Hickory 510g Sweet Baby Rays,bbq-sas-hickory-510g-sweet-baby-rays.jpg,12,2007-10-27 15:36:22,2018-11-28 10:07:36,Sweet Baby Ray
91,"13409918104","0.9","0.55","185","97","53",47.95000076293945,47.95000076293945,47.95000076293945,"Original Barbecue- den äkta berömda amrikanska BBQ såsen som ger den där riktiga grillsmaken. Perfekt till grillning/stekning, men även som sås/dipp till grillat eller stekt kött.","Energi 200 kcal, Energi 837 kJ, Fett 0.2 g, Varav mättat fett 0.1 g, Kolhydrat 47 g, Varav sockerarter 43 g, Protein 0.9 g, Motsvarande salt 1.9 g","Hög/høj fruktos majssirap, vinäger/vineddik, tomatpuré, modifierad stärkelse/modifisert stivelse (majs), salt, ananasjuicekoncentrat, naturlig rökarom/røgaroma (0,75%), kryddor (SENAP/SENNEP, SELLERIFRÖN/SELLERI), rödpeppar, svartpeppar), färgämne (sockerkulör/karamel), konserveringsmedel (natriumbensoat), melass/melasse, majssirap/maissirup, vitlök, socker, tamarind, fruktextrakt.",BBQ Original 510g Sweet Baby Ray´s,"00013409918104_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-24 15:49:24,Sweet Baby Ray
1149,"4021","0.2","0.18","80","70","75",9.95,9.95,9.95,,,,Äpple Golden Delicious Klass1,apple-golden-delicious-klass1.jpg,12,2007-10-27 15:36:22,2019-02-26 13:00:54,Frukt & Grönt
1251,"4139","0.2","0.18","80","70","75",9.95,9.9,9.95,"Granny Smith är ett blankt äpple i klargrön färg med vitt, fast fruktkött som har frisk och syrlig smak. När äpplet blivit riktigt moget är fruktköttet mjukare och smaken mer söt.  Granny Smith har lång hållbarhet och är ett bra dessertäpple som passar bra till allt från pajer och kompotter till att äta rårivet eller ugnsstekt.  ",,,Äpple Granny Smith Klass1,apple-granny-smith-klass1-2.jpg,12,2007-10-27 15:36:22,2019-01-31 11:02:18,Frukt & Grönt
1255,"4173","0.4","0.2","80","70","70",9.95,9.95,9.95,"Royal Gala Klass 1. <br/> <br/>Royal Gala är en korsning mellan Cox Orange, Pippin, Red Delicious och Golden Delicious och härstammar från Nya Zeeland. Fruktköttet är vitt, mycket krispigt och saftigt. Smaken är söt, frisk och aromatisk.","Näringsvärde per 100g. Energi: 52kcal/218kJ, Vatten: 85g, Protein: 0,4g, Fett: 0,1g, Kolhydrater: 12,2g, Kostfiber: 1,8g, Kalium: 134mg, ß-karoten: 30µg, C-vitamin: 8mg.",,Äpple Royal Gala Klass1,apple-royal-gala-klass1-2.jpg,12,2007-10-27 15:36:22,2019-02-26 12:57:34,Frukt & Grönt
3625,"2332017000000","3.15","1","200","90","175",50.310001373291016,50.31,50.310001373291016,Kronkyckling från Kronfågel utan inkråm. Kycklingen är luftkyld vilket ger en bättre smakupplevelse efter tillagning. Hel kyckling kan stekas hel eller i halvor.,"Energi 750 kJ, Energi 180 kcal, Fett 11 g, Varav mättat fett 3.7 g, Kolhydrat 0.5 g, Varav sockerarter 0.5 g, Fiber 1 g, Protein 19 g, Motsvarande salt 0.2 g","Hel kyckling. Klass A. URSPRUNG: Född, uppväxt, slaktad i Sverige.",Kronkyckling ca 900g Kronfågel,"02332017000000_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-31 11:02:18,Kronfågel
3635,"2332802000000","1.04","0.31","137","40","187",51.9,51.9,51.9,,"Energi 480 kJ, Energi 120 kcal, Fett 2 g, Varav mättat fett 0.5 g, Kolhydrat 0.5 g, Varav sockerarter 0.5 g, Fiber 1 g, Protein 23 g, Motsvarande salt 0.2 g","Kycklingbröstfilé. Klass A. URSPRUNG: Född, uppväxt, slaktad i Sverige.",Kycklingfilé ca 300g Kronfågel,"02332802000000_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-31 11:02:18,Kronfågel
3719,"2340343600000","0.52","0.51","72","60","120",69.9000015258789,69.9000015258789,69.9000015258789,"Grynpipig och mellanlagrad ost med en behagligt rund och balanserad smak och ett stänk av pigg syrlighet och sälta. Ostens förpackning är återförslutningsbar, vilket underlättar i vardagen. Osten smakar bäst rumstempererad och kan med fördel njutas på smörgås, i matlagning eller på ostbricka. Symbolen med den blågula mjölkkannan garanterar 100 procent svensk mjölk.","Energi 1594 kJ, Energi 384 kcal, Fett 31 g, Varav mättat fett 20 g, Kolhydrat 0 g, Varav sockerarter 0 g, Protein 25 g, Motsvarande salt 1.2 g, Vitamin B12 1.4 mcg, Kalcium 756 mg","Pastöriserad MJÖLK, salt, syrningskultur, ystenzym, kalciumklorid.",Munkens Svarta 31% ca 500g Wästgöta Kloster,munkens-svarta-31--ca-500g-wastgota-kloster.jpg,12,2007-10-27 15:36:22,2019-01-31 10:33:26,Wästgöta Kloster
