categoryid,categoryname,parentcategoryid,categoryurl,ispublic,categoryintroduction,title,metadescription
2,Ost,19,ost,1,"Ost är alltid bra att ha hemma, dels till mackan men även för att det är gott att ta sig en bit då man är sugen eller att använda till pizza, en pastasås eller vid gratinering. Här finns mängder av ostar att välja mellan, allt från starka till milda, riven och färdigskivad.",,
3,Övrigt,NULL,ovrigt,0,NULL,NULL,NULL
4,"Kryddor & Smaksättare",NULL,smaksattare,1,,,
5,Skafferi,NULL,skafferi,1,"Kika in i MatHems välsorterade skafferi. Skafferiet står alltid öppet, tillgängligt för dig som vill handla dina skafferivaror direkt på nätet. I utbudet ingår torkade frukter, pasta, ris, baktillbehör, bönor och linser, mjöl, olika smaksättare, olika sorters konserver och mycket annat. I det generösa skafferiet finns även ekologiska, nyckelhålsmärkta, glutenfria produkter. Navigera igenom varje underkategori för att hitta din skafferivara.","Handla skafferivaror av högsta kvalitet på nätet | MatHem","I MatHems skafferi finner du fina och goda skafferivaror som du köper på nätet och levereras hem till din dörr."
6,"Djurmat & Tillbehör",NULL,djurmat-o-tillbehor,1,"Här kan du köpa hem mat till fågel, katt och hund. Ge hunden ett smarrigt ben att gnaga på i helgen eller låt katten lyxa till det med lite Sheba.",,
10,"Barnmat & Tillbehör",NULL,barnmat-o-tillbehor,1,"Här hittar du massor av bra varor till barnen; blöjor, barnmat och drycker, gröt, nappar och vårdande krämer. Passa även på att kolla in några av våra andra barnsidor med bland annat leksaker böcker och inspiration till kalaset: 
<br/>
<a href=""https://www.mathem.se/varor/leksaker"">Leksaker</a>
<br/>
<a href=""https://www.mathem.se/varor/barnbocker"">Barnböcker</a> 
<br/>
<a href=""https://www.mathem.se/inspiration/barnkalas"">Barnkalas</a>","Barnmat & Tillbehör - Handla barnmat och andra barnprodukter online på nätet | MatHem","MatHems kategori ”Barnmat & Tillbehör” omfattar ett 100-tal produkter till ditt barn. Du sparar värdefull tid som du i stället spenderar med ditt barn – och slipper bära tunga kassar."
11,"Kött & Chark",NULL,kott-o-chark,1,"På MatHems välsorterade Kött & Chark handlar du högkvalitativa kött- och charkprodukter. För MatHem är det en självklarhet att smak och prisvärt hög kvalitet skall komma dig som kund till del och våra kött- och charkvaror är inte ett undantag. Här erbjuds du både ekologiskt och nyckelhålsmärkt samt ekonomipack och premiumkvalité. Leverans av kött och chark sker i våra egna kylbilar.","Kött & Chark - Beställ kött och chark av högsta kvalitet på MatHem och få det hemlevererat","Köp kött och chark online på MatHem.se. Hemkörning av kött- och charkuterivaror av högsta kvalitet."
12,"Frukt & Grönt",NULL,frukt-o-gront,1,"MatHem månar om att deras kunder skall få tillgång till fräscha frukter och grönsaker. Vi packar dina frukter och grönsaker och kör ut dem hem till dig i våra egna kylbilar, för att bibehålla den goda kvalitén på våra fräscha produkter. Hos oss finns ett brett sortiment, bl.a. nyskördade frukter, grönsaker, örter, kryddor och skott som varierar efter årstiden, både ekologiskt och nyckelhålsmärkt. Det finns också egna färdigblandade fruktkassar.","Frukt & Grönt - Handla frukter och grönsaker på nätet med hemleverans | MatHem","På MatHem.se köper du många olika sorters färska frukter och grönsaker online. Nyttig frukt och grönt från nätet direkt till din dörr."
13,Dryck,NULL,dryck,1,"Juice, läsk, öl - frossa bland vårt stora urval av drycker. Du kan till och med köpa hem en hel back med dricka och få den levererad hem. Här finns allt från fruktiga juicer och smoothies till drinkessenser och alkoholfria alternativ.","Dryck - Handla dryck och vin på nätet | MatHem","Handla dryck och vin på nätet ur MatHems breda sortiment som levereras hem till dörren enligt utvald tid."
14,"Glass Godis & Snacks",NULL,glass-godis-o-snacks,1,"Handla hem Glass, Godis & Snacks utifrån MatHems breda premiumkvalité- och ekonomisortiment. Här finns olika typer av glass, godis och snacks som passar den som både vill handla ekonomiskt men som också uppskattar kvalité. Självklart erbjuder MatHem också ett stort sortiment av ekologiska, mjölkproteinfria och glutenfria varor, såsom blandat godis, choklad, chips och naturgodis.","Glass Godis & Snacks - Handla på nätet – levereras direkt till din dörr | MatHem","På MatHem.se handlar du olika typer av Glass Godis & Snacks på nätet. Leverans direkt till din dörr."
15,"Bröd & Bageri",NULL,brod-o-bageri,1,"Bröd, bröd, bröd - hur ska man lyckas välja bland alla saftiga och smakrika sorter som finns? Bland vårt brödsortiment hittar du 100-tals ljuvliga produkter, köp hem, frys in eller beställ nytt färskt bröd varje vecka. Här finns allt från glutenfritt och nyckelhålsmärkt bröd till ekologiska bröd och fika.","Bröd & Bageri - Handla bageriprodukter online på nätet | MatHem","I MatHems bageri köper du bröd av högsta kvalitet som levereras hem till din dörr."
16,"Färdigmat & Mellanmål",NULL,fardigmat-o-halvfabrikat,1,"Varor som finns i vår kategori Färdigmat & Halvfabrikat är prisvärda och bra produkter för alla tillfällen, speciellt när tiden inte räcker till. Det går att välja mellan olika färdigmat, såsom köttbullar, pajer, piroger; färdiglagad kyckling och falafel, crêpes, färdiga pastarätter, m.m. Det går även att hitta ekologisk och glutenfri fryst färdigmat och halvfabrikat från olika kända producenter såsom Felix, Scan, Findus, m fl.","Färdigmat & Mellanmål på nätet | MatHem","Handla färsk och fryst färdigmat & halvfabrikat på nätet ur MatHems breda sortiment som levereras hem till dörren enligt utvald tid."
