"productid","EanCode","Volume","Weight","Height","Length","Width","price10","price14","price16","ProductDescription","NutritionDescription","IngredientsDescription","ProductName","ImageUrl","VatRate","CreationDate","LastmodifiedDate","suppliername","NewProduct","Origin","AdultProduct","Season","Orderfactor","LastReceiptDay","LastSalesDay","TruckRouteOpt"
32,"11210000018","0.24","0.157","140","41","41",52.95000076293945,52.95000076293945,52.95000076293945,,"Näringvärde per 100g: </BR>Energi: 67kj/16kcal, </BR>Fett: 0,7g </BR>- varav mättat fett 0,2g,</BR>Kolhydrat: 1,6g </BR>- varav sockerarter 0g,</BR>Fiber 1,3g,</BR>Protein: 1g,</BR>Salt: 1,8g","ättika (eddik), Tabasco-peppar, salt.",Pepper Sauce 57ml Tabasco,"00011210000018_c1n1.jpg",12,2007-10-27 15:36:22,2019-01-08 00:08:20,Tabasco,1,,0,,"1","90","29",
36,"011210009431","0.24","0.158","140","41","41",52.95000076293945,52.95000076293945,52.95000076293945,,Ingen info,"Ättika (Eddik), grön Jalapeno peppar, salt, modifierad majsstärkelse (E1422), förtjockningsmedel (Stivelse) E415, antioxidationsmedel E300.",Pepper Sauce Grön 60ml Tabasco,tabasco-gron-60ml-tabasco-1578909153.jpg,12,2007-10-27 15:36:22,2019-03-21 08:25:54,Tabasco,0,,0,,"1","90","29",
90,"013409351505","0.93","0.555","185","97","53",44.95000076293945,44.95000076293945,0,,"Näringvärde per 100g: </BR>Energi: 841kj/201kcal, </BR>Fett: 0.2g </BR>- varav mättat fett 0,1g,</BR>Kolhydrat: 48g </BR>- varav sockerarter 43g,</BR>Protein: 0,9g,</BR>Salt: 1,9g","Fruktossirap, ättika/eddik (majs), tomatpuré, vatten, modifierad stärkelse/modifisert stivelse, farinsocker (2%) salt, rökarom/rögarom, ananasjuice koncentrat, , kryddor (SENAPSPULVER/SENNEPPULVER, SELLERIFRÖN/SELLERI), färgämne (sockerkulör/karamel), konserveringsmedel (natriumbensoat), melass/melasse, glukosssirap, torkad vitlök, socker, tamarind, naturliga aromer. Innehåller: Selleri, Senap.",BBQ Sås Hickory 510g Sweet Baby Rays,bbq-sas-hickory-510g-sweet-baby-rays.jpg,12,2007-10-27 15:36:22,2019-04-26 13:03:44,Sweet Baby Ray,1,,0,G,"1","90","29",
91,"13409918104","0.9","0.55","185","97","53",47.95000076293945,47.95000076293945,47.95000076293945,"Original Barbecue- den äkta berömda amrikanska BBQ såsen som ger den där riktiga grillsmaken. Perfekt till grillning/stekning, men även som sås/dipp till grillat eller stekt kött.","Energi 200 kcal, Energi 837 kJ, Fett 0.2 g, Varav mättat fett 0.1 g, Kolhydrat 47 g, Varav sockerarter 43 g, Protein 0.9 g, Motsvarande salt 1.9 g","Hög/høj fruktos majssirap, vinäger/vineddik, tomatpuré, modifierad stärkelse/modifisert stivelse (majs), salt, ananasjuicekoncentrat, naturlig rökarom/røgaroma (0,75%), kryddor (SENAP/SENNEP, SELLERIFRÖN/SELLERI), rödpeppar, svartpeppar), färgämne (sockerkulör/karamel), konserveringsmedel (natriumbensoat), melass/melasse, majssirap/maissirup, vitlök, socker, tamarind, fruktextrakt.",BBQ Original 510g Sweet Baby Ray´s,"00013409918104_c1n1.jpg",12,2007-10-27 15:36:22,2019-04-26 13:31:31,Sweet Baby Ray,0,,0,NB.M,"1","90","29",
1099,"4457","0.3","0.14",,,,7.95,7.95,7.95,"Clementiner är naturligt kärnfri men det kan ändå förekomma kärnor i clementiner. Detta beror på att blomningsperioden sammanfaller med citronernas. Kärnorna kommer från citronträden genom så kallad korspollinering. Bina tar med sig pollen från citronodlingar i närheten och överför det på den yttre träden i clementinodlingen, om denna ligger för nära. Dessa träd kan då få frukter som innehåller kärnor.  Träden längre in i odlingen förblir kärnfri. Därför kan förekomsten av kärnor variera i just clementiner. Vissa partier är helt kärnfria medan andra kan innehålla mycket  kärnor.",,,Clementiner Klass1,clementiner-klass1-1.jpg,12,2007-10-27 15:36:22,2019-04-12 09:55:35,Frukt & Grönt,0,90,0,,,,,
1112,"3050","2.5","1.5",,,,36.9,32.95,36.9,,,,Vitkål ca 1.5kg Klass1,vitkal-ca-2-5-kg-klass1.jpg,12,2007-10-27 15:36:22,2019-04-12 10:02:20,Frukt & Grönt,0,73,0,,"1",,,
1149,"4021","0.2","0.18","80","70","75",9.95,9.95,9.95,,,,Äpple Golden Delicious Klass1,apple-golden-delicious-klass1.jpg,12,2007-10-27 15:36:22,2019-04-16 13:06:04,Frukt & Grönt,1,80,0,,"1",,,
1150,"4147","0.5","0.25",,,,8.75,8.75,8.75,,,,Äpple Jonagold Klass1,apple-jonagold-klass1-2.jpg,12,2007-10-27 15:36:22,2019-05-07 15:04:52,Frukt & Grönt,1,88,0,,"1",,,
1191,"4011","0.4","0.2",,,,7,7,7,,,,Banan Klass1,banan-klass1-7.jpg,12,2007-10-27 15:36:22,2019-05-08 06:47:58,Frukt & Grönt,1,113,0,,"1",,,
1221,"4061","1","0.4",,,,21.95,21.95,21.95,"Sallat Isberg Klass 1. <br/> <br/>Isbergssallat är vår mest odlade och sålda sallatssort. Den har vunnit sin popularitet i att vara krispig, mild och användbar i de flesta blandsallader.","Näringsvärde per 100g. Energi: 61 kJ/15kcal, Protein: 1g, Fett: 0,1g, Mättade fettsyror: 0g, Kolhydrater: 2g, Fibrer:	1g, C-vitamin: 4mg, D-vitamin: 0mcg, Folat: 56mcg, Järn: 0,4mg, Zink: 0,2mg, Kalcium:	16mg.",,Sallat Isberg Klass1,sallat-isberg-klass1-1.jpg,12,2007-10-27 15:36:22,2019-05-08 08:04:20,Frukt & Grönt,1,90,0,,"1",,,
