TagID,TagName,productname,productid,EanCode
13634,asiatiskt,"Pepper Sauce 57ml Tabasco",32,11210000018
92719,"Tabasco Original Pepparsås","Pepper Sauce 57ml Tabasco",32,11210000018
94288,arvid_nordquist_smaksattare,"Pepper Sauce 57ml Tabasco",32,11210000018
94288,arvid_nordquist_smaksattare,"Pepper Sauce Grön 60ml Tabasco",36,011210009431
105364,"Tabasco Grön Pepparsås","Pepper Sauce Grön 60ml Tabasco",36,011210009431
4709,grill,"BBQ Sås Hickory 510g Sweet Baby Rays",90,013409351505
11500,grillat,"BBQ Sås Hickory 510g Sweet Baby Rays",90,013409351505
15728,fotbollsVM,"BBQ Sås Hickory 510g Sweet Baby Rays",90,013409351505
27000,hamburgerinspiration,"BBQ Sås Hickory 510g Sweet Baby Rays",90,013409351505
27000,hamburgerinspiration,"BBQ Original 510g Sweet Baby Ray´s",91,13409918104
15765,grilldags,"BBQ Original 510g Sweet Baby Ray´s",91,13409918104
71838,grillsås,"BBQ Original 510g Sweet Baby Ray´s",91,13409918104
149,kakmix,"Chocolate Cookies 453g Betty Crocke",122,16000712706
149,kakmix,"Blueberry Muffin 375g Betty Crocke",123,16000718708
338,"Färska frukter","Clementiner Klass1",1099,4457
13224,halloween,"Clementiner Klass1",1099,4457
13226,hallowen,"Clementiner Klass1",1099,4457
13225,haloween,"Clementiner Klass1",1099,4457
13402,matpåjobbet,"Clementiner Klass1",1099,4457
14013,glöggmingel,"Clementiner Klass1",1099,4457
17859,företag,"Clementiner Klass1",1099,4457
28194,skolstart2015,"Clementiner Klass1",1099,4457
30972,småcitrus,"Clementiner Klass1",1099,4457
5,mandarin,"Clementiner Klass1",1099,4457
2830,klementin,"Clementiner Klass1",1099,4457
93700,seniormat_mathem,"Clementiner Klass1",1099,4457
95533,forskolemat,"Clementiner Klass1",1099,4457
96577,kontorsbestallning,"Clementiner Klass1",1099,4457
338,"Färska frukter","Pitahaya Klass1",1106,7330671000706
339,"Färska grönsaker","Vitkål ca 1.5kg Klass1",1112,3050
20894,viktnedgång,"Vitkål ca 1.5kg Klass1",1112,3050
339,"Färska grönsaker","Fänkålsgroddar 50g Klass1",1136,2092317100000
22413,groddar,"Fänkålsgroddar 50g Klass1",1136,2092317100000
2994,fest,"Fänkålsgroddar 50g Klass1",1136,2092317100000
338,"Färska frukter","Äpple Golden Delicious Klass1",1149,4021
637,äpplen,"Äpple Golden Delicious Klass1",1149,4021
14727,brunch,"Äpple Golden Delicious Klass1",1149,4021
338,"Färska frukter","Äpple Jonagold Klass1",1150,4147
637,äpplen,"Äpple Jonagold Klass1",1150,4147
13402,matpåjobbet,"Äpple Jonagold Klass1",1150,4147
338,"Färska frukter","Äpple Fuji Klass1",1153,4131
637,äpplen,"Äpple Fuji Klass1",1153,4131
35992,fujiäpple,"Äpple Fuji Klass1",1153,4131
338,"Färska frukter","Svenska Äpplen EKO Klass1",1154,2092321700000
637,äpplen,"Svenska Äpplen EKO Klass1",1154,2092321700000
18499,"svenska äpplen","Svenska Äpplen EKO Klass1",1154,2092321700000
338,"Färska frukter","Päron Conference 900g (4-pack) Klass1",1157,9109
14727,brunch,"Päron Conference 900g (4-pack) Klass1",1157,9109
28194,skolstart2015,"Päron Conference 900g (4-pack) Klass1",1157,9109
338,"Färska frukter","Päron Clara Frijs 1kg Klass1",1158,2092322200000
12,bananer,"Banan Klass1",1191,4011
22,vijay,"Banan Klass1",1191,4011
23,vijayakanth,"Banan Klass1",1191,4011
338,"Färska frukter","Banan Klass1",1191,4011
638,12345,"Banan Klass1",1191,4011
2877,bannan,"Banan Klass1",1191,4011
13369,barnkalas,"Banan Klass1",1191,4011
13402,matpåjobbet,"Banan Klass1",1191,4011
38,isbergssallad,"Sallat Isberg Klass1",1221,4061
39,isbergssallat,"Sallat Isberg Klass1",1221,4061
40,sallad,"Sallat Isberg Klass1",1221,4061
41,sallat,"Sallat Isberg Klass1",1221,4061
2723,isbergsallad,"Sallat Isberg Klass1",1221,4061
2724,isbergsallat,"Sallat Isberg Klass1",1221,4061
21774,Isberg,"Sallat Isberg Klass1",1221,4061
27000,hamburgerinspiration,"Sallat Isberg Klass1",1221,4061
2957,"sallad isberg","Sallat Isberg Klass1",1221,4061
97450,KA2018,"Sallat Isberg Klass1",1221,4061
339,"Färska grönsaker","Zucchini Klass1",1226,74067
4709,grill,"Zucchini Klass1",1226,74067
15765,grilldags,"Zucchini Klass1",1226,74067
17530,säsongsvara,"Zucchini Klass1",1226,74067
27408,auberchini,"Zucchini Klass1",1226,74067
339,"Färska grönsaker","Aubergine Klass1",1232,74603
13224,halloween,"Aubergine Klass1",1232,74603
13226,hallowen,"Aubergine Klass1",1232,74603
13225,haloween,"Aubergine Klass1",1232,74603
15765,grilldags,"Aubergine Klass1",1232,74603
27408,auberchini,"Aubergine Klass1",1232,74603
335,rödlök,"Rödlök 2-pack Klass1",1233,4082
339,"Färska grönsaker","Rödlök 2-pack Klass1",1233,4082
2732,"röd lök","Rödlök 2-pack Klass1",1233,4082
15650,påskmat,"Rödlök 2-pack Klass1",1233,4082
27000,hamburgerinspiration,"Rödlök 2-pack Klass1",1233,4082
27879,"blandade grönsaker t ex morötter, rödlök, squash","Rödlök 2-pack Klass1",1233,4082
40738,"blandade grönsaker","Rödlök 2-pack Klass1",1233,4082
42217,atkinsmat,"Rödlök 2-pack Klass1",1233,4082
